Year;Domino's Pizza;KFC;Burger King;PizzaHut;Subway;McDonald's
2006;8 366;;;;;31 046
2007;8 624;;;;;31 377
2008;8 773;;;;;31 967
2009;8 999;;12 078;;;32 478
2010;9 351;16 853;12 251;13 432;;32 737
2011;9 742;17 401;12 512;13 747;35 920;33 510
2012;10 255;18 198;12 997;14 357;37 199;34 480
2013;10 886;18 875;13 667;14 967;39 767;35 429
2014;11 629;19 420;14 372;15 605;43 148;36 258
2015;12 530;19 986;15 003;16 084;43 916;36 525
2016;13 811;20 643;15 738;16 420;44 702;36 899
2017;14 856;21 487;16 767;16 748;44 608;37 241
2018;15 914;22 621;17 796;18 431;42 431;37 855
2019;17 020;24 104;18 838;18 703;41 600;38 695
2020;17 644;25 000;18 625;17 639;;39 198
2021;18 848;26 934;19 247;18 381;;40 031
2022;19 880;27 760;19 789;19 034;;
