Country;2016;2017;2018;2019;2020;2021;2022
France (Including Monaco);1 419;1 442;1 463;1 485;1 495;1 517;1 536
Germany;1 470;1 480;1 489;1 484;1 448;1 432;1 425
United Kingdom;1 274;1 285;1 292;1 323;1 334;1 367;1 397
Italy (Including San Marino);554;566;578;597;608;634;669
Spain (Including Gibraltar);501;509;515;527;535;557;580
Poland;382;402;421;442;461;490;517
Netherlands;249;246;249;252;255;257;262
Israel*;;;;;203;213;219
Austria;195;193;194;196;197;200;200
Sweden;220;214;205;205;201;194;195
Portugal;152;161;168;174;180;188;195
Switzerland (Including Liechtenstein);165;166;169;170;169;171;176
Czech Republic;95;96;99;101;105;109;113
Hungary;89;88;89;89;93;97;111
Ukraine;80;83;87;92;97;108;107
Belgium;76;80;84;87;95;101;106
Denmark;88;88;88;88;90;94;99
Romania;68;72;78;84;87;92;96
Ireland;91;91;92;95;95;95;94
Norway;73;72;71;73;75;77;79
Finland;65;65;64;63;66;67;72
Morocco;37;42;44;52;53;56;61
Bulgaria;42;41;41;41;41;41;41
Croatia;28;29;30;33;36;38;41
Slovakia;40;30;30;33;35;37;40
Serbia;26;26;27;28;30;30;32
Greece;23;24;23;25;24;25;28
Slovenia;18;20;20;20;20;22;24
Georgia;11;13;14;16;18;18;21
Azerbaijan;11;12;16;16;17;20;20
Lithuania;11;13;14;15;16;17;17
Latvia;12;12;12;13;13;13;13
Luxembourg;10;10;10;10;10;12;12
Estonia;10;10;10;10;10;10;11
Malta;9;9;9;9;9;9;9
Moldova;4;4;5;5;5;5;7
